"gene","GO"
"SLITRK6","3. synapse organization"
"SNAP91","3. synapse organization"
"SNAPIN","3. synapse organization"
"SNCA","3. synapse organization"
"SNCB","3. synapse organization"
"SNCG","3. synapse organization"
"SNTA1","3. synapse organization"
"SNX27","3. synapse organization"
"SORBS1","3. synapse organization"
"SORBS2","3. synapse organization"
"SPARC","3. synapse organization"
"SPARCL1","3. synapse organization"
"SPTBN2","3. synapse organization"
"SRCIN1","3. synapse organization"
"SRGN","3. synapse organization"
"SRPX2","3. synapse organization"
"SSH1","3. synapse organization"
"STAU1","3. synapse organization"
"STAU2","3. synapse organization"
"SYBU","3. synapse organization"
"SYN1","3. synapse organization"
"SYNDIG1","3. synapse organization"
"SYNGAP1","3. synapse organization"
"SYNPO","3. synapse organization"
"TANC1","3. synapse organization"
"THBS2","3. synapse organization"
"TIAM1","3. synapse organization"
"TLR2","3. synapse organization"
"TMEFF1","3. synapse organization"
"TMEFF2","3. synapse organization"
"TMEM108","3. synapse organization"
"TNC","3. synapse organization"
"TNF","3. synapse organization"
"TNR","3. synapse organization"
"TPBG","3. synapse organization"
"TREM2","3. synapse organization"
"TSC1","3. synapse organization"
"TSC2","3. synapse organization"
"TUBA1A","3. synapse organization"
"TUBB5","3. synapse organization"
"UBE2V2","3. synapse organization"
"UBE3A","3. synapse organization"
"UNC13A","3. synapse organization"
"UNC13B","3. synapse organization"
"UNC13C","3. synapse organization"
"UTRN","3. synapse organization"
"VCP","3. synapse organization"
"VHL","3. synapse organization"
"VPS35","3. synapse organization"
"VSTM5","3. synapse organization"
"WASF1","3. synapse organization"
"WASF2","3. synapse organization"
"WASF3","3. synapse organization"
"WASL","3. synapse organization"
"WNT3A","3. synapse organization"
"WNT5A","3. synapse organization"
"WNT7A","3. synapse organization"
"WNT7B","3. synapse organization"
"XLR3B","3. synapse organization"
"XLR4B","3. synapse organization"
"YWHAZ","3. synapse organization"
"ZFP365","3. synapse organization"
"ZFP804A","3. synapse organization"
"ZMYND8","3. synapse organization"
"2210016L21RIK","5. negative regulation of cellular process"
"2610042L04RIK","5. negative regulation of cellular process"
"2700046G09RIK","5. negative regulation of cellular process"
"2700081O15RIK","5. negative regulation of cellular process"
"2810408A11RIK","5. negative regulation of cellular process"
"4930503L19RIK","5. negative regulation of cellular process"
"4933400A11RIK","5. negative regulation of cellular process"
"A2M","5. negative regulation of cellular process"
"A2ML1","5. negative regulation of cellular process"
"A4GNT","5. negative regulation of cellular process"
"A430033K04RIK","5. negative regulation of cellular process"
"AAMDC","5. negative regulation of cellular process"
"AARS","5. negative regulation of cellular process"
"AATF","5. negative regulation of cellular process"
"AATK","5. negative regulation of cellular process"
"ABAT","5. negative regulation of cellular process"
"ABCA2","5. negative regulation of cellular process"
"ABCA5","5. negative regulation of cellular process"
"ABCA7","5. negative regulation of cellular process"
"ABCB1A","5. negative regulation of cellular process"
"ABCC1","5. negative regulation of cellular process"
"ABCC8","5. negative regulation of cellular process"
"ABCD1","5. negative regulation of cellular process"
"ABCD2","5. negative regulation of cellular process"
"ABCE1","5. negative regulation of cellular process"
"ABCG1","5. negative regulation of cellular process"
"ABHD2","5. negative regulation of cellular process"
"ABHD6","5. negative regulation of cellular process"
"ABL1","5. negative regulation of cellular process"
"ABL2","5. negative regulation of cellular process"
"ABR","5. negative regulation of cellular process"
"ABRAXAS1","5. negative regulation of cellular process"
"ABRAXAS2","5. negative regulation of cellular process"
"ACAA2","5. negative regulation of cellular process"
"ACACB","5. negative regulation of cellular process"
"ACADL","5. negative regulation of cellular process"
"ACADVL","5. negative regulation of cellular process"
"ACAN","5. negative regulation of cellular process"
"ACD","5. negative regulation of cellular process"
"ACE","5. negative regulation of cellular process"
"ACE2","5. negative regulation of cellular process"
"ACER2","5. negative regulation of cellular process"
"ACIN1","5. negative regulation of cellular process"
"ACKR3","5. negative regulation of cellular process"
"ACMSD","5. negative regulation of cellular process"
"ACOD1","5. negative regulation of cellular process"
"ACOT1","5. negative regulation of cellular process"
"ACOT8","5. negative regulation of cellular process"
"ACP4","5. negative regulation of cellular process"
"ACP5","5. negative regulation of cellular process"
"ACTB","5. negative regulation of cellular process"
"ACTC1","5. negative regulation of cellular process"
"ACTN1","5. negative regulation of cellular process"
"ACTN3","5. negative regulation of cellular process"
"ACTN4","5. negative regulation of cellular process"
"ACTR3","5. negative regulation of cellular process"
"ACTRT1","5. negative regulation of cellular process"
"ACVR1","5. negative regulation of cellular process"
"ACVR1B","5. negative regulation of cellular process"
"ACVR1C","5. negative regulation of cellular process"
"ACVR2B","5. negative regulation of cellular process"
"ACVRL1","5. negative regulation of cellular process"
"AD","5. negative regulation of cellular process"
"ADA","5. negative regulation of cellular process"
"ADAM8","5. negative regulation of cellular process"
"ADAM10","5. negative regulation of cellular process"
"ADAM15","5. negative regulation of cellular process"
"ADAM17","5. negative regulation of cellular process"
"ADAMTS7","5. negative regulation of cellular process"
"ADAMTS9","5. negative regulation of cellular process"
"ADAMTS12","5. negative regulation of cellular process"
"ADAMTS18","5. negative regulation of cellular process"
"ADAMTS20","5. negative regulation of cellular process"
"ADAMTSL2","5. negative regulation of cellular process"
"ADAR","5. negative regulation of cellular process"
"ADARB1","5. negative regulation of cellular process"
"ADCK1","5. negative regulation of cellular process"
"ADCY6","5. negative regulation of cellular process"
"ADCY8","5. negative regulation of cellular process"
"ADCYAP1","5. negative regulation of cellular process"
"ADCYAP1R1","5. negative regulation of cellular process"
"ADD1","5. negative regulation of cellular process"
"ADD2","5. negative regulation of cellular process"
"ADD3","5. negative regulation of cellular process"
"ADGRA2","5. negative regulation of cellular process"
"ADGRB1","5. negative regulation of cellular process"
"ADGRF5","5. negative regulation of cellular process"
"ADGRG1","5. negative regulation of cellular process"
"ADGRG3","5. negative regulation of cellular process"
"ADGRV1","5. negative regulation of cellular process"
"ADIPOQ","5. negative regulation of cellular process"
"ADIPOR1","5. negative regulation of cellular process"
"ADIPOR2","5. negative regulation of cellular process"
"ADM","5. negative regulation of cellular process"
"ADNP","5. negative regulation of cellular process"
"ADNP2","5. negative regulation of cellular process"
"ADORA1","5. negative regulation of cellular process"
"ADORA2A","5. negative regulation of cellular process"
"ADORA2B","5. negative regulation of cellular process"
"ADORA3","5. negative regulation of cellular process"
"ADRA1A","5. negative regulation of cellular process"
"ADRA1B","5. negative regulation of cellular process"
"ADRA2A","5. negative regulation of cellular process"
"ADRB2","5. negative regulation of cellular process"
"ADTRP","5. negative regulation of cellular process"
"AEBP1","5. negative regulation of cellular process"
"AEBP2","5. negative regulation of cellular process"
"AFDN","5. negative regulation of cellular process"
"AGAP2","5. negative regulation of cellular process"
"AGER","5. negative regulation of cellular process"
"AGO1","5. negative regulation of cellular process"
"AGO2","5. negative regulation of cellular process"
"AGO3","5. negative regulation of cellular process"
"AGO4","5. negative regulation of cellular process"
"AGR2","5. negative regulation of cellular process"
"AGR3","5. negative regulation of cellular process"
"AGRN","5. negative regulation of cellular process"
"AGT","5. negative regulation of cellular process"
"AGTR1A","5. negative regulation of cellular process"
"AGTR1B","5. negative regulation of cellular process"
"AGTR2","5. negative regulation of cellular process"
"AHI1","5. negative regulation of cellular process"
"AHR","5. negative regulation of cellular process"
"AHRR","5. negative regulation of cellular process"
"AHSG","5. negative regulation of cellular process"
"AI182371","5. negative regulation of cellular process"
"AICDA","5. negative regulation of cellular process"
"AIDA","5. negative regulation of cellular process"
"AIF1","5. negative regulation of cellular process"
"AIMP1","5. negative regulation of cellular process"
"AIMP2","5. negative regulation of cellular process"
"AIPL1","5. negative regulation of cellular process"
"AJAP1","5. negative regulation of cellular process"
"AJUBA","5. negative regulation of cellular process"
"AK1","5. negative regulation of cellular process"
"AKAIN1","5. negative regulation of cellular process"
"AKAP1","5. negative regulation of cellular process"
"AKAP6","5. negative regulation of cellular process"
"AKIRIN1","5. negative regulation of cellular process"
"AKIRIN2","5. negative regulation of cellular process"
"AKNA","5. negative regulation of cellular process"
"AKR1B3","5. negative regulation of cellular process"
"AKR1C6","5. negative regulation of cellular process"
"AKR1C18","5. negative regulation of cellular process"
"AKT1","5. negative regulation of cellular process"
"AKT1S1","5. negative regulation of cellular process"
"AKT2","5. negative regulation of cellular process"
"AKT3","5. negative regulation of cellular process"
"ALAD","5. negative regulation of cellular process"
"ALB","5. negative regulation of cellular process"
"ALDH1A2","5. negative regulation of cellular process"
"ALDH2","5. negative regulation of cellular process"
"ALKBH1","5. negative regulation of cellular process"
"ALMS1","5. negative regulation of cellular process"
"ALOX8","5. negative regulation of cellular process"
"ALOX12","5. negative regulation of cellular process"
"ALPK2","5. negative regulation of cellular process"
"ALX1","5. negative regulation of cellular process"
"AMBP","5. negative regulation of cellular process"
"AMBRA1","5. negative regulation of cellular process"
"AMER1","5. negative regulation of cellular process"
"AMER2","5. negative regulation of cellular process"
"AMFR","5. negative regulation of cellular process"
"AMHR2","5. negative regulation of cellular process"
"AMIGO2","5. negative regulation of cellular process"
"AMIGO3","5. negative regulation of cellular process"
"ANAPC15","5. negative regulation of cellular process"
"ANG","5. negative regulation of cellular process"
"ANG3","5. negative regulation of cellular process"
"ANGEL2","5. negative regulation of cellular process"
"ANGPT1","5. negative regulation of cellular process"
"ANGPT2","5. negative regulation of cellular process"
"ANGPT4","5. negative regulation of cellular process"
"ANGPTL4","5. negative regulation of cellular process"
"ANK2","5. negative regulation of cellular process"
"ANKLE1","5. negative regulation of cellular process"
"ANKLE2","5. negative regulation of cellular process"
"ANKRD1","5. negative regulation of cellular process"
"ANKRD2","5. negative regulation of cellular process"
"ANKRD6","5. negative regulation of cellular process"
"ANKRD13A","5. negative regulation of cellular process"
"ANKRD13B","5. negative regulation of cellular process"
"ANKRD13D","5. negative regulation of cellular process"
"ANKRD17","5. negative regulation of cellular process"
"ANKRD26","5. negative regulation of cellular process"
"ANKRD27","5. negative regulation of cellular process"
"ANKRD33","5. negative regulation of cellular process"
"ANKS1","5. negative regulation of cellular process"
"ANP32B","5. negative regulation of cellular process"
"ANTXR1","5. negative regulation of cellular process"
"ANXA1","5. negative regulation of cellular process"
"ANXA2","5. negative regulation of cellular process"
"ANXA4","5. negative regulation of cellular process"
"ANXA5","5. negative regulation of cellular process"
"ANXA6","5. negative regulation of cellular process"
"ANXA8","5. negative regulation of cellular process"
"ANXA9","5. negative regulation of cellular process"
"AP1AR","5. negative regulation of cellular process"
"AP2A1","5. negative regulation of cellular process"
"APBB1","5. negative regulation of cellular process"
"APBB2","5. negative regulation of cellular process"
"APBB3","5. negative regulation of cellular process"
"APC","5. negative regulation of cellular process"
"APC2","5. negative regulation of cellular process"
"APCDD1","5. negative regulation of cellular process"
"APCS","5. negative regulation of cellular process"
"APEX1","5. negative regulation of cellular process"
"API5","5. negative regulation of cellular process"
"APIP","5. negative regulation of cellular process"
"APLN","5. negative regulation of cellular process"
"APLNR","5. negative regulation of cellular process"
"APLP1","5. negative regulation of cellular process"
"APOA1","5. negative regulation of cellular process"
"APOA2","5. negative regulation of cellular process"
"APOA4","5. negative regulation of cellular process"
"APOBEC1","5. negative regulation of cellular process"
"APOBEC3","5. negative regulation of cellular process"
"APOC2","5. negative regulation of cellular process"
"APOC3","5. negative regulation of cellular process"
"APOD","5. negative regulation of cellular process"
"APOE","5. negative regulation of cellular process"
"APOH","5. negative regulation of cellular process"
"APOM","5. negative regulation of cellular process"
"APOPT1","5. negative regulation of cellular process"
"APP","5. negative regulation of cellular process"
"APPL1","5. negative regulation of cellular process"
"APPL2","5. negative regulation of cellular process"
"AQP1","5. negative regulation of cellular process"
"AQP4","5. negative regulation of cellular process"
"AQP11","5. negative regulation of cellular process"
"AR","5. negative regulation of cellular process"
"ARAF","5. negative regulation of cellular process"
"ARAP1","5. negative regulation of cellular process"
"ARAP3","5. negative regulation of cellular process"
"ARC","5. negative regulation of cellular process"
"AREG","5. negative regulation of cellular process"
"AREL1","5. negative regulation of cellular process"
"ARF1","5. negative regulation of cellular process"
"ARF4","5. negative regulation of cellular process"
"ARF6","5. negative regulation of cellular process"
"ARFGEF1","5. negative regulation of cellular process"
"ARFGEF3","5. negative regulation of cellular process"
"ARG1","5. negative regulation of cellular process"
"ARG2","5. negative regulation of cellular process"
"ARHGAP1","5. negative regulation of cellular process"
"ARHGAP4","5. negative regulation of cellular process"
"ARHGAP6","5. negative regulation of cellular process"
"ARHGAP10","5. negative regulation of cellular process"
"ARHGAP12","5. negative regulation of cellular process"
"ARHGAP24","5. negative regulation of cellular process"
"ARHGAP25","5. negative regulation of cellular process"
"ARHGAP28","5. negative regulation of cellular process"
"ARHGAP35","5. negative regulation of cellular process"
"ARHGAP42","5. negative regulation of cellular process"
"ARHGAP44","5. negative regulation of cellular process"
"ARHGDIA","5. negative regulation of cellular process"
"ARHGDIB","5. negative regulation of cellular process"
"ARHGEF1","5. negative regulation of cellular process"
"ARHGEF2","5. negative regulation of cellular process"
"ARHGEF15","5. negative regulation of cellular process"
"ARHGEF18","5. negative regulation of cellular process"
"ARID1A","5. negative regulation of cellular process"
